apppush-provider,http://10.129.5.112:8084/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=UTF-8
wechat-provider,http://10.129.5.112:8085/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=UTF-8
invoice-provider,http://10.129.5.113:8081/isLive,{"code":0,"msg":"OK","data":"com.ciicgat.invoice:invoice-provider:3.2.0"},200,application/json;charset=UTF-8
captcha-server,http://10.129.5.113:8082/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=ISO-8859-1
ciicgatadmin-provider,http://10.129.5.113:8084/isLive,{"code":0,"msg":"OK","data":"success"},200,application/json;charset=UTF-8
einvoice,http://10.129.5.113:8087/isLive,{"code":0,"msg":"OK","data":"welcometoe-invoice."},200,application/json;charset=UTF-8
catalog,http://10.129.5.113:8088/isLive,{"code":0,"msg":null,"data":"true"},200,application/json;charset=UTF-8
invoice-provider,http://10.129.5.114:8081/isLive,{"code":0,"msg":"OK","data":"com.ciicgat.invoice:invoice-provider:3.2.0"},200,application/json;charset=UTF-8
captcha-server,http://10.129.5.114:8082/isLive,{"msg":"OK","code":0,"data":true},200,text/html;charset=ISO-8859-1
ciicgatadmin-provider,http://10.129.5.114:8084/isLive,{"code":0,"msg":"OK","data":"success"},200,application/json;charset=UTF-8
einvoice,http://10.129.5.114:8087/isLive,{"code":0,"msg":"OK","data":"welcometoe-invoice."},200,application/json;charset=UTF-8
catalog,http://10.129.5.114:8088/isLive,{"code":0,"msg":null,"data":"true"},200,application/json;charset=UTF-8
passport-auth,http://10.129.5.39:8080/isLive,ok,200,None
passport-provider,http://10.129.5.39:8081/isLive,ok,200,None
passport-auth,http://10.129.5.40:8080/isLive,ok,200,None
passport-provider,http://10.129.5.40:8081/isLive,ok,200,None
passport-auth,http://10.129.5.41:8080/isLive,ok,200,None
passport-provider,http://10.129.5.41:8081/isLive,ok,200,None
welfare,http://10.129.5.115:8080/isLive,{"code":0,"msg":"OK","data":null},200,application/json;charset=UTF-8
order,http://10.129.5.115:8081/isLive,{"code":0,"msg":null,"data":true},200,application/json;charset=UTF-8
pay-authcode,http://10.129.5.115:8082/isLive,{"code":0,"msg":"OK","data":true},200,application/json;charset=UTF-8
ciicgat-appmgr,http://10.129.5.115:8083/isLive,{"code":0,"msg":"OK","data":true},200,application/json;charset=UTF-8
qrcode,http://10.129.5.115:8084/isLive,{"code":0,"msg":"OK","data":"测试中文的标题"},200,application/json;charset=UTF-8
welfare,http://10.129.5.106:8080/isLive,{"code":0,"msg":"OK","data":null},200,application/json;charset=UTF-8
order,http://10.129.5.106:8081/isLive,{"code":0,"msg":null,"data":true},200,application/json;charset=UTF-8
pay-authcode,http://10.129.5.106:8082/isLive,{"code":0,"msg":"OK","data":true},200,application/json;charset=UTF-8
ciicgat-appmgr,http://10.129.5.106:8083/isLive,{"code":0,"msg":"OK","data":true},200,application/json;charset=UTF-8
qrcode,http://10.129.5.106:8084/isLive,{"code":0,"msg":"OK","data":"测试中文的标题"},200,application/json;charset=UTF-8
limitportal,http://10.129.1.104:8080/isLive,{"msg":"OK","code":0},200,text/html;charset=UTF-8
